outcome,term,estimate,std.error,p.value,sig
Immediate Recall,education_3catIntermediate (A/O level),-0.001,0.002,0.4404,
Immediate Recall,education_3catHigher (degree/equiv),0.002,0.002,0.3125,
Immediate Recall,wealth_quintileQ2,0.001,0.003,0.7806,
Immediate Recall,wealth_quintileQ3,-0.003,0.003,0.1658,
Immediate Recall,wealth_quintileQ4,-0.004,0.003,0.1366,
Immediate Recall,wealth_quintileQ5 (Highest),-0.005,0.003,0.0654,.
Immediate Recall,cesd_total,-0.001,0,0.1727,
Immediate Recall,has_diabetes,-0.005,0.005,0.286,
Immediate Recall,has_cvd,-0,0.004,0.9982,
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):time,0.001,0.002,0.722,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):time,-0,0.003,0.9567,
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):time_sq,-0,0,0.9591,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):time_sq,0,0,0.5334,
Serial 7s,(Intercept),393.051,3.105,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones),-1.694,2.611,0.5164,
Serial 7s,hearing_acuityModerate-severe (0-2 tones),-6.291,3.821,0.0998,.
Serial 7s,time,-1.271,1.165,0.2754,
Serial 7s,time_sq,0.082,0.148,0.5797,
Serial 7s,age_c,-0.156,0.092,0.0907,.
Serial 7s,sex_factorFemale,-1.028,1.576,0.5143,
Serial 7s,education_3catIntermediate (A/O level),0.793,2.05,0.6991,
Serial 7s,education_3catHigher (degree/equiv),-0.999,2.031,0.623,
Serial 7s,wealth_quintileQ2,1.699,2.729,0.5337,
Serial 7s,wealth_quintileQ3,2.863,2.737,0.2956,
Serial 7s,wealth_quintileQ4,2.037,2.719,0.4538,
Serial 7s,wealth_quintileQ5 (Highest),4.243,2.772,0.126,
Serial 7s,cesd_total,-0.323,0.441,0.4646,
Serial 7s,has_diabetes,-0.875,5.367,0.8705,
Serial 7s,has_cvd,0.359,3.762,0.9239,
Serial 7s,hearing_acuityMild difficulty (3-5 tones):time,-0.14,1.754,0.9362,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):time,2.661,2.653,0.3158,
Serial 7s,hearing_acuityMild difficulty (3-5 tones):time_sq,0.153,0.225,0.4971,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.36,0.358,0.3142,
